Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MSFT,Microsoft Corp,134.65,-2.42,-1.77%,136.37,133.58,32001699,2010-02-19
NEE,Nextera Energy,229.11,-2.92,-1.26%,232.48,228.53,2222900,2010-02-19
NFLX,Netflix Inc,268.03,-1.55,-0.57%,269.35,262.19,7773200,2010-02-19
NKE,Nike Inc,91.49,-0.79,-0.86%,91.84,90.57,6974300,2010-02-19
NVDA,Nvidia Corp,173.04,-0.96,-0.55%,173.6,170.13,7391500,2010-02-19
ORCL,Oracle Corp,53.15,-0.65,-1.21%,53.56,52.67,16057800,2010-02-19
OXY,Occidental Petroleum Corp,42.94,-0.83,-1.90%,43.74,42.74,6077600,2010-02-19
PEP,Pepsico Inc,133.94,-3.43,-2.50%,137.38,133.49,5804700,2010-02-19
PFE,Pfizer Inc,34.7,-0.73,-2.06%,35.27,34.65,21354400,2010-02-19
PG,Procter & Gamble Company,121.08,-2.77,-2.24%,123.65,120.21,6800600,2010-02-19
PM,Philip Morris International Inc,76.72,-1.11,-1.43%,78.1,76.19,7031100,2010-02-19
PYPL,Paypal Holdings,99.73,-2.8,-2.73%,101.83,99.36,8011700,2010-02-19
QCOM,Qualcomm Inc,73.99,-1.48,-1.96%,75.71,73.77,6288000,2010-02-19
RTN,Raytheon Company,191.28,-0.85,-0.44%,192.49,188.24,3174000,2010-02-19
SBUX,Starbucks Corp,84.32,-2.19,-2.53%,86.01,84.16,10036400,2010-02-19
SLB,Schlumberger N.V.,31.76,-0.94,-2.87%,32.75,31.65,13551399,2010-02-19
SO,Southern Company,61.15,-0.73,-1.18%,61.9,60.96,4614200,2010-02-19
SPG,Simon Property Group,149.17,-3.19,-2.09%,152.28,148.56,2152200,2010-02-19
T,AT&T Inc,37.08,-0.33,-0.88%,37.35,36.92,26612102,2010-02-19
TGT,Target Corp,105.16,-0.78,-0.74%,105.96,104.01,5825600,2010-02-19
TXN,Texas Instruments,126.84,-1.75,-1.36%,127.78,126.22,5379700,2010-02-19
UNH,Unitedhealth Group Inc,216.75,-0.46,-0.21%,219.36,215.28,4925400,2010-02-19
UNP,Union Pacific Corp,152.02,-3.93,-2.52%,154.71,150.34,5447400,2010-02-19
UPS,United Parcel Service,115.24,-0.57,-0.49%,115.98,114.34,3933800,2010-02-19
USB,U.S. Bancorp,52.88,-0.9,-1.67%,53.52,52.57,5456200,2010-02-19
UTX,United Technologies Corp,130.47,-3.32,-2.48%,133,129.82,3279900,2010-02-19
V,Visa Inc,169.83,-4.46,-2.56%,172.94,168.59,10721700,2010-02-19
VZ,Verizon Communications Inc,58.91,-0.94,-1.57%,59.72,58.72,12161301,2010-02-19
WBA,Walgreens Boots Alliance,52.83,-1.87,-3.42%,54.62,52.73,5018800,2010-02-19
WFC,Wells Fargo & Company,48.47,-0.59,-1.20%,49.04,48.37,24808500,2010-02-19
WMT,Wal-Mart Stores,116.12,-1.73,-1.47%,117.55,115.61,6008500,2010-02-19
XOM,Exxon Mobil Corp,67.15,-1.8,-2.61%,68.59,67,14635300,2010-02-19
USDOLLAR,Fed Rate 3month,,,,,,,
# Downloaded from Barchart.com as of 10-02-2019 10:18pm CDT,,,,,,,,
